product_id,title,price,category
136,"Distributed value-added workforce",321.75,"home & kitchen"
137,"Configurable well-modulated forecast",83.45,clothing
138,"Mandatory actuating contingency",425.78,beauty
139,"Configurable intangible projection",441.13,sports
140,"Centralized grid-enabled structure",287.42,beauty
141,"Streamlined methodical process improvement",477.96,beauty
142,"Intuitive impactful budgetary management",441.92,beauty
143,"Operative 3rdgeneration Local Area Network",31.38,automotive
144,"Organic holistic hub",144.40,beauty
145,"Innovative system-worthy benchmark",488.36,books
146,"Visionary object-oriented secured line",441.77,beauty
147,"Pre-emptive 24hour database",183.27,beauty
148,"Upgradable homogeneous task-force",348.09,"home & kitchen"
149,"Profound content-based installation",465.55,books
150,"Re-engineered impactful project",65.28,toys
151,"Up-sized radical structure",311.48,automotive
152,"Universal upward-trending help-desk",369.36,automotive
153,"Ergonomic composite emulation",18.75,clothing
154,"Cloned multimedia portal",171.35,books
155,"Optimized 24/7 leverage",334.50,sports
156,"Configurable clear-thinking core",490.56,clothing
157,"Proactive disintermediate help-desk",26.79,automotive
158,"User-centric responsive moderator",312.34,clothing
159,"Implemented scalable flexibility",12.28,sports
160,"Customer-focused background software",447.85,automotive
161,"User-friendly 4thgeneration focus group",242.28,"home & kitchen"
162,"Persevering zero administration model",306.87,sports
163,"Balanced global project",414.98,automotive
164,"Focused next generation workforce",486.31,books
165,"Networked responsive concept",10.10,beauty
166,"Optimized explicit artificial intelligence",347.23,toys
167,"Virtual well-modulated extranet",487.04,clothing
168,"Proactive client-driven productivity",311.75,books
169,"Distributed maximized collaboration",174.32,books
170,"Advanced stable contingency",31.09,"home & kitchen"
171,"Stand-alone foreground middleware",490.37,"home & kitchen"
172,"Optimized leadingedge application",424.09,toys
173,"Cross-platform client-server attitude",385.71,toys
174,"Re-contextualized mobile conglomeration",98.49,toys
175,"Sharable hybrid focus group",196.76,beauty
176,"Synergistic multi-state benchmark",149.48,sports
177,"Upgradable optimal product",334.98,clothing
178,"Ergonomic reciprocal Graphic Interface",328.47,sports
179,"Enhanced user-facing initiative",336.16,clothing
180,"Open-architected impactful customer loyalty",323.34,automotive
181,"Right-sized logistical monitoring",279.89,beauty
182,"Switchable fault-tolerant leverage",425.94,electronics
183,"Optional multi-state framework",433.28,beauty
184,"Reduced 5thgeneration solution",372.21,toys
185,"Decentralized national protocol",297.09,toys
186,"Switchable mission-critical frame",45.45,sports
187,"Progressive actuating product",120.37,clothing
188,"Reduced interactive hierarchy",476.16,toys
189,"Synergistic mobile extranet",460.35,"home & kitchen"
190,"Versatile motivating customer loyalty",466.54,electronics
191,"Horizontal fault-tolerant benchmark",314.55,automotive
192,"Mandatory explicit attitude",93.76,books
193,"User-centric client-driven utilization",172.34,automotive
194,"Persevering systematic definition",164.33,"home & kitchen"
195,"Customizable client-server toolset",204.85,"home & kitchen"
196,"Synchronized asymmetric monitoring",278.77,clothing
197,"Progressive national Graphical User Interface",167.40,sports
198,"Programmable 6thgeneration benchmark",11.25,sports
199,"Intuitive 24hour installation",57.31,sports
200,"Streamlined 3rdgeneration Local Area Network",336.73,"home & kitchen"
